DATE,HOMETEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,AWAYTEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,CLASS
10/18/2017,SAS,107,89,0.461,21,0.381,19,0.895,50,22,8,11,11,18,MIN,99,85,0.435,19,0.421,23,0.739,42,23,7,4,13,16,1
10/20/2017,MIN,100,81,0.444,22,0.318,26,0.808,44,17,11,2,15,17,UTA,97,77,0.481,22,0.409,17,0.824,38,23,10,8,19,21,1
10/22/2017,OKC,113,96,0.479,31,0.355,16,0.625,36,26,9,6,11,22,MIN,115,86,0.5,25,0.4,23,0.826,45,25,5,1,17,17,-1
10/24/2017,MIN,107,86,0.488,24,0.375,22,0.636,27,27,9,4,14,14,IND,130,84,0.667,22,0.455,11,0.727,42,31,8,2,17,21,-1
10/25/2017,DET,122,92,0.522,34,0.441,17,0.647,47,32,7,3,14,22,MIN,101,85,0.435,25,0.36,21,0.857,37,19,5,4,14,19,1
10/27/2017,MIN,119,86,0.488,22,0.364,35,0.771,44,23,5,7,15,21,OKC,116,86,0.5,28,0.286,25,0.88,35,19,8,9,14,29,1
10/30/2017,MIA,122,93,0.527,27,0.259,25,0.68,50,17,8,5,24,28,MIN,125,91,0.451,23,0.478,35,0.914,40,20,16,4,16,25,-1
11/01/2017,NOP,98,84,0.429,31,0.258,21,0.857,38,27,13,4,19,24,MIN,104,83,0.494,22,0.273,24,0.667,47,20,13,3,21,21,-1
11/04/2017,MIN,112,79,0.544,24,0.417,20,0.8,48,33,7,9,18,20,DAL,99,87,0.46,27,0.37,12,0.75,31,18,7,2,15,19,1
11/05/2017,MIN,112,83,0.458,24,0.417,30,0.867,54,20,4,4,16,19,CHA,94,89,0.416,28,0.321,21,0.524,40,24,8,3,11,24,1
11/08/2017,GSW,125,85,0.565,36,0.417,18,0.778,45,37,10,9,19,23,MIN,101,92,0.413,24,0.208,27,0.741,41,21,15,0,13,14,1
11/11/2017,PHX,118,86,0.535,26,0.385,24,0.667,46,21,4,10,18,25,MIN,110,96,0.406,20,0.2,35,0.8,47,16,12,4,11,21,1
11/13/2017,UTA,98,84,0.44,40,0.35,11,0.909,31,23,8,4,15,23,MIN,109,71,0.521,20,0.5,29,0.862,40,22,9,5,15,13,-1
11/15/2017,MIN,98,87,0.448,18,0.5,16,0.688,41,27,9,4,6,16,SAS,86,79,0.418,24,0.292,15,0.867,45,20,4,4,16,18,1
11/17/2017,DAL,87,86,0.372,38,0.211,17,0.882,41,18,3,3,11,20,MIN,111,84,0.464,30,0.433,23,0.87,48,27,7,0,10,18,-1
11/19/2017,MIN,97,78,0.513,22,0.227,18,0.667,38,23,11,4,20,20,DET,100,83,0.47,25,0.32,20,0.7,37,25,10,2,19,21,-1
11/20/2017,CHA,118,85,0.494,26,0.423,29,0.793,52,22,5,7,17,18,MIN,102,90,0.411,27,0.222,26,0.846,38,13,8,6,10,21,1
11/22/2017,MIN,124,87,0.46,23,0.348,45,0.8,42,22,9,3,7,17,ORL,118,91,0.505,37,0.324,22,0.636,44,28,4,4,14,31,1
11/24/2017,MIN,97,84,0.44,17,0.412,26,0.615,44,21,9,3,10,16,MIA,109,80,0.475,39,0.487,16,0.875,42,29,4,4,13,24,-1
11/26/2017,MIN,119,93,0.527,21,0.429,17,0.706,48,24,12,5,10,14,PHX,108,85,0.506,26,0.5,12,0.75,37,25,6,1,15,20,1
11/28/2017,MIN,89,85,0.412,30,0.333,14,0.643,49,27,3,1,10,17,WAS,92,83,0.434,28,0.357,17,0.588,44,23,5,4,7,16,-1
11/29/2017,NOP,102,84,0.464,35,0.4,11,0.909,28,27,8,2,16,17,MIN,120,81,0.58,23,0.391,19,0.895,44,30,10,1,17,14,-1
12/01/2017,OKC,111,79,0.519,26,0.308,22,0.955,42,28,7,7,18,24,MIN,107,76,0.513,24,0.5,21,0.81,26,26,7,5,16,20,1
12/03/2017,MIN,112,88,0.432,26,0.308,31,0.903,42,22,9,1,7,16,LAC,106,73,0.507,34,0.441,22,0.773,37,21,3,7,16,26,1
12/04/2017,MEM,95,72,0.472,21,0.286,24,0.875,41,22,6,8,16,22,MIN,92,79,0.443,17,0.235,19,0.947,34,17,9,2,9,16,1
12/06/2017,LAC,107,99,0.444,32,0.313,15,0.6,43,23,6,3,9,17,MIN,113,82,0.549,19,0.368,21,0.762,46,29,4,7,15,17,-1
12/10/2017,MIN,97,72,0.5,19,0.368,23,0.783,45,19,7,2,18,19,DAL,92,81,0.457,31,0.355,9,0.778,33,23,6,5,10,22,1
12/12/2017,MIN,112,108,0.407,29,0.172,27,0.704,50,19,14,7,10,21,PHI,118,80,0.5,26,0.423,32,0.844,52,32,6,3,24,18,-1
12/14/2017,MIN,119,82,0.561,21,0.476,20,0.85,39,29,12,9,9,19,SAC,96,87,0.414,33,0.424,12,0.833,42,24,4,2,14,21,1
12/16/2017,MIN,106,95,0.421,27,0.333,24,0.708,31,21,14,8,6,19,PHX,108,72,0.458,24,0.458,35,0.886,52,22,4,3,23,21,-1
12/18/2017,MIN,108,91,0.462,19,0.368,21,0.81,32,19,6,2,10,14,POR,107,84,0.548,24,0.417,5,1.0,40,26,6,8,17,19,1
12/20/2017,DEN,104,72,0.5,28,0.464,24,0.792,42,27,6,5,21,18,MIN,112,87,0.494,24,0.333,19,0.947,37,28,12,2,8,20,-1
12/23/2017,PHX,106,86,0.465,32,0.344,24,0.625,36,24,5,4,13,22,MIN,115,84,0.5,16,0.375,29,0.862,47,18,6,6,14,21,-1
12/25/2017,LAL,104,92,0.435,30,0.333,20,0.7,37,21,10,1,12,16,MIN,121,84,0.583,32,0.344,14,0.857,42,30,9,4,15,13,-1
12/27/2017,MIN,128,90,0.522,29,0.414,30,0.733,42,27,4,7,6,26,DEN,125,91,0.462,39,0.385,31,0.839,48,26,3,2,9,24,1
12/28/2017,MIL,102,75,0.547,15,0.333,16,0.938,36,23,10,0,16,18,MIN,96,71,0.479,28,0.321,26,0.731,33,20,9,3,16,14,1
12/31/2017,IND,90,85,0.388,25,0.4,18,0.778,43,20,3,5,16,18,MIN,107,86,0.477,19,0.211,25,0.84,44,20,11,8,7,20,-1
01/01/2018,MIN,114,81,0.494,20,0.35,30,0.9,41,26,14,5,17,24,LAL,96,76,0.447,26,0.308,29,0.69,37,18,12,4,24,25,1
01/03/2018,BKN,98,72,0.514,30,0.467,11,0.909,38,22,3,3,19,23,MIN,97,80,0.45,11,0.091,30,0.8,32,10,9,4,8,12,1
01/05/2018,BOS,91,94,0.404,36,0.167,13,0.692,56,24,6,4,10,22,MIN,84,76,0.368,23,0.304,28,0.75,43,15,6,5,12,15,1
01/06/2018,MIN,116,90,0.489,18,0.5,21,0.905,47,26,10,5,9,20,NOP,98,78,0.423,29,0.207,28,0.929,38,20,5,6,15,19,1
01/08/2018,MIN,127,100,0.52,31,0.323,17,0.765,56,30,6,2,5,17,CLE,99,84,0.44,38,0.342,16,0.75,37,26,0,4,13,15,1
01/10/2018,MIN,104,80,0.488,20,0.35,27,0.704,45,22,11,5,14,22,OKC,88,80,0.4,25,0.24,24,0.75,41,13,9,2,18,22,1
01/12/2018,MIN,118,95,0.516,27,0.37,16,0.625,43,33,12,4,12,12,NYK,108,83,0.542,24,0.5,9,0.667,36,25,6,6,16,17,1
01/14/2018,MIN,120,80,0.538,19,0.368,33,0.818,38,21,12,3,11,17,POR,103,79,0.494,25,0.44,17,0.824,38,19,6,3,17,27,1
01/16/2018,ORL,108,90,0.444,31,0.355,19,0.895,51,24,4,10,16,15,MIN,102,98,0.439,16,0.438,10,0.9,37,19,10,9,7,21,1
01/18/2018,HOU,116,88,0.477,39,0.436,17,0.882,45,24,11,5,9,15,MIN,98,81,0.469,24,0.333,21,0.667,40,24,8,8,11,16,1
01/20/2018,MIN,115,81,0.469,16,0.438,42,0.762,44,21,4,3,11,20,TOR,109,83,0.47,33,0.364,21,0.905,35,23,7,7,13,30,1
01/22/2018,LAC,118,84,0.56,27,0.333,22,0.682,40,31,4,1,17,27,MIN,126,91,0.473,22,0.318,39,0.846,47,20,5,4,13,22,-1
01/24/2018,POR,123,82,0.549,31,0.548,21,0.762,37,24,4,1,10,16,MIN,114,84,0.536,16,0.375,22,0.818,33,20,7,2,6,14,1
01/25/2018,GSW,126,89,0.539,37,0.568,15,0.6,47,37,9,8,15,17,MIN,113,101,0.455,20,0.3,18,0.833,43,25,9,3,10,15,1
01/27/2018,MIN,111,96,0.438,21,0.19,26,0.885,49,20,9,7,5,12,BKN,97,82,0.463,30,0.3,15,0.8,43,22,3,7,15,19,1
01/29/2018,ATL,105,79,0.494,34,0.382,16,0.875,44,27,8,8,21,18,MIN,100,83,0.47,19,0.368,18,0.833,35,24,15,5,13,18,1
01/30/2018,TOR,109,81,0.481,29,0.31,26,0.846,39,28,3,4,8,18,MIN,104,85,0.494,12,0.417,24,0.625,40,21,4,2,8,19,1
02/01/2018,MIN,108,78,0.538,19,0.368,20,0.85,39,27,8,7,13,15,MIL,89,85,0.376,29,0.207,25,0.76,43,19,6,1,15,21,1
02/03/2018,MIN,118,95,0.505,21,0.476,16,0.75,50,21,9,3,12,13,NOP,107,101,0.416,33,0.242,17,0.882,51,23,9,8,13,11,1
02/07/2018,CLE,140,88,0.591,41,0.512,23,0.652,41,33,5,1,15,21,MIN,138,93,0.581,33,0.576,12,0.917,35,33,7,4,11,19,1
02/09/2018,CHI,114,83,0.494,26,0.346,30,0.767,39,22,5,4,11,19,MIN,113,87,0.471,22,0.364,28,0.821,46,19,8,4,13,22,1
02/11/2018,MIN,111,74,0.5,24,0.375,32,0.875,37,29,10,5,16,17,SAC,106,88,0.477,25,0.4,17,0.706,43,17,12,2,18,23,1
02/13/2018,MIN,108,84,0.476,23,0.261,23,0.957,40,22,3,4,8,20,HOU,126,83,0.494,47,0.468,29,0.759,37,25,1,4,6,23,-1
02/15/2018,MIN,119,90,0.467,24,0.25,31,0.935,46,23,5,10,10,22,LAL,111,94,0.457,31,0.226,26,0.692,46,19,6,4,13,26,1
02/23/2018,HOU,120,83,0.482,38,0.368,30,0.867,50,24,6,2,10,17,MIN,102,94,0.426,26,0.385,16,0.75,43,19,6,3,10,22,1
02/24/2018,MIN,122,94,0.489,35,0.314,26,0.731,51,25,6,4,11,15,CHI,104,90,0.467,23,0.261,20,0.7,42,21,5,9,14,20,1
02/26/2018,SAC,100,84,0.476,22,0.364,13,0.923,31,22,5,3,14,23,MIN,118,76,0.513,16,0.438,36,0.917,43,22,11,4,12,14,-1
03/01/2018,POR,108,92,0.391,30,0.3,35,0.771,48,17,9,6,8,18,MIN,99,85,0.447,20,0.2,21,0.905,49,16,5,7,15,24,1
03/02/2018,UTA,116,78,0.513,29,0.31,35,0.771,45,21,7,5,18,21,MIN,108,74,0.514,17,0.529,31,0.742,27,14,9,0,12,23,1
03/08/2018,MIN,109,94,0.468,31,0.387,13,0.692,47,24,3,3,12,22,BOS,117,87,0.494,32,0.344,27,0.741,46,28,7,2,11,17,-1
03/11/2018,MIN,109,95,0.463,20,0.3,21,0.714,50,27,7,3,9,15,GSW,103,91,0.407,36,0.278,21,0.905,50,22,6,7,13,17,1
03/13/2018,WAS,111,82,0.512,20,0.4,25,0.76,39,26,6,4,11,17,MIN,116,87,0.529,21,0.333,19,0.895,37,23,10,7,10,21,-1
03/17/2018,SAS,117,96,0.51,26,0.231,14,0.929,41,32,11,8,5,17,MIN,101,81,0.481,12,0.583,20,0.8,34,22,3,2,16,16,1
03/18/2018,MIN,120,86,0.523,20,0.5,26,0.769,41,24,7,1,12,26,HOU,129,78,0.551,35,0.457,36,0.75,33,28,7,8,11,26,-1
03/20/2018,MIN,123,86,0.523,25,0.4,24,0.958,40,23,5,6,11,21,LAC,109,93,0.43,24,0.333,26,0.808,41,21,4,5,10,22,1
03/23/2018,NYK,104,92,0.435,28,0.429,17,0.706,42,25,9,0,10,27,MIN,108,75,0.467,26,0.385,32,0.875,45,23,6,6,14,15,-1
03/24/2018,PHI,120,88,0.477,37,0.351,36,0.639,51,33,9,10,15,29,MIN,108,96,0.385,23,0.261,38,0.737,53,19,7,3,14,27,1
03/26/2018,MIN,93,79,0.418,24,0.333,24,0.792,37,21,7,6,14,15,MEM,101,84,0.476,31,0.484,9,0.667,35,25,8,4,13,23,-1
03/28/2018,MIN,126,90,0.533,30,0.433,21,0.81,37,33,9,1,13,20,ATL,114,77,0.532,27,0.481,23,0.826,37,26,10,2,20,22,1
