97.0,82.86,0.41,29.57,0.35,22.71,0.82,42.57,17.0,11.14,6.14,15.57,21.0,93.86,79.57,0.43,27.86,0.36,21.86,0.75,45.0,17.0,8.71,5.0,18.71,22.57,107.57,89.0,0.42,34.0,0.31,27.86,0.76,44.86,21.57,8.14,3.71,16.86,21.86,113.86,93.0,0.46,26.71,0.32,26.0,0.75,50.43,21.43,9.29,6.71,14.0,23.29,1
99.57,84.0,0.41,29.57,0.36,24.29,0.82,43.0,16.57,11.29,6.0,15.29,22.14,96.57,79.29,0.43,26.43,0.36,24.71,0.77,45.43,16.71,7.71,5.0,18.71,23.43,107.86,88.29,0.45,22.57,0.33,26.86,0.79,42.71,20.57,10.43,2.86,15.0,19.0,115.0,89.29,0.5,29.43,0.36,20.0,0.74,44.57,26.0,8.43,6.86,16.57,23.14,-1
113.71,83.43,0.49,23.86,0.34,30.57,0.79,42.43,22.0,8.0,6.0,15.71,23.14,111.43,86.43,0.46,27.86,0.37,26.14,0.78,41.57,21.29,8.57,4.14,16.14,25.14,92.29,85.14,0.43,20.57,0.35,17.71,0.7,39.71,19.43,8.14,3.29,13.57,20.14,105.86,81.86,0.48,30.57,0.4,20.86,0.75,45.57,25.14,7.86,4.71,14.71,19.14,1
108.0,84.14,0.45,29.0,0.36,27.57,0.77,46.29,21.14,8.71,4.43,14.14,21.43,103.29,83.43,0.44,30.29,0.35,23.29,0.78,41.0,22.29,8.86,6.0,14.57,24.14,106.29,83.71,0.46,28.43,0.41,25.0,0.71,47.14,24.43,8.14,3.14,18.71,26.14,110.29,86.43,0.44,36.29,0.35,28.86,0.78,41.0,21.57,9.14,5.57,14.57,21.86,-1
117.43,83.29,0.52,30.86,0.42,20.43,0.87,45.47,30.86,8.86,10.0,18.71,20.14,108.71,92.86,0.44,30.43,0.35,20.14,0.79,39.94,25.71,11.0,3.57,15.29,16.43,114.14,86.43,0.48,31.86,0.44,22.29,0.78,41.43,27.29,8.29,4.57,16.43,22.14,110.57,89.0,0.48,25.86,0.31,23.57,0.7,45.0,23.0,8.71,5.29,15.71,19.71,1
106.0,88.86,0.47,24.29,0.31,21.0,0.74,49.71,25.14,7.86,5.71,17.71,20.86,104.86,92.86,0.44,32.57,0.28,18.86,0.7,44.57,23.29,10.0,4.57,13.86,19.71,108.43,83.0,0.47,29.57,0.39,24.86,0.73,48.57,25.71,8.71,2.86,18.71,26.14,107.0,85.43,0.44,34.57,0.36,28.14,0.76,38.57,20.57,9.57,4.71,14.86,21.43,-1
101.14,82.86,0.45,22.43,0.36,21.57,0.85,44.57,18.86,7.29,5.0,15.29,19.29,99.43,84.29,0.45,27.14,0.31,21.14,0.73,39.29,18.14,9.29,6.0,13.14,19.14,111.14,86.29,0.47,31.71,0.41,22.71,0.78,40.71,26.71,8.43,4.57,14.86,20.86,108.29,88.43,0.48,25.29,0.31,20.86,0.73,45.29,24.86,7.29,5.14,15.43,20.29,1
106.29,88.86,0.45,25.57,0.31,24.29,0.74,46.57,17.14,6.29,5.43,16.0,25.57,109.29,87.71,0.45,27.14,0.34,29.86,0.71,46.57,20.29,8.86,5.0,15.29,22.86,109.14,83.86,0.45,46.43,0.34,21.29,0.84,45.0,21.86,8.14,5.43,14.86,18.86,99.43,87.43,0.45,28.86,0.36,16.0,0.72,42.14,21.0,8.0,5.43,14.14,17.43,-1
99.0,82.86,0.43,32.86,0.34,22.86,0.74,39.29,20.0,7.14,3.86,13.14,20.14,105.57,83.0,0.46,30.57,0.36,23.57,0.76,48.29,21.57,8.14,4.0,14.43,20.0,109.29,86.29,0.46,22.71,0.35,27.71,0.81,42.43,20.43,10.71,3.0,15.29,18.57,113.71,88.57,0.5,32.14,0.35,18.86,0.74,41.86,26.14,8.43,5.86,17.14,23.86,-1
112.29,81.86,0.5,25.57,0.35,26.86,0.81,42.14,23.29,7.86,4.71,16.0,23.29,108.14,85.14,0.46,26.14,0.39,26.0,0.77,39.71,20.43,8.86,3.86,15.14,23.29,100.0,84.71,0.44,31.57,0.36,19.0,0.75,43.71,21.14,8.43,5.29,16.29,22.43,101.43,84.71,0.42,26.43,0.37,25.71,0.77,45.71,18.71,8.0,6.14,14.43,20.43,-1
107.57,85.29,0.48,25.29,0.41,19.43,0.78,45.0,25.57,7.43,6.43,14.86,18.43,100.0,83.0,0.46,26.14,0.34,21.14,0.66,40.0,22.14,9.0,5.14,14.43,19.0,99.0,85.43,0.44,31.86,0.34,18.71,0.7,41.57,19.14,12.29,5.0,14.0,21.29,96.29,79.0,0.44,27.14,0.33,21.86,0.8,42.71,21.86,7.43,5.57,18.29,19.86,1
110.71,85.29,0.49,27.43,0.36,24.71,0.73,45.14,26.71,9.14,5.43,16.86,18.29,106.57,86.14,0.47,33.43,0.36,19.57,0.67,40.71,23.86,10.86,5.0,16.71,22.0,108.0,84.29,0.47,31.43,0.34,24.43,0.73,45.29,23.57,7.86,4.57,14.29,19.86,105.57,91.0,0.43,31.14,0.33,21.86,0.79,47.0,22.43,6.71,5.43,14.43,21.57,1
99.0,82.29,0.45,22.57,0.37,19.43,0.83,42.86,18.0,7.14,4.29,15.0,17.0,97.57,83.14,0.45,27.57,0.32,18.14,0.76,38.57,17.86,8.43,5.57,12.86,18.14,92.29,85.14,0.42,21.43,0.34,19.43,0.68,35.14,19.71,9.0,3.29,12.86,19.43,113.29,82.57,0.52,31.0,0.42,19.0,0.78,46.86,28.86,8.0,4.43,14.86,20.86,1
103.43,84.0,0.44,31.43,0.32,25.43,0.75,42.14,21.43,8.29,6.43,12.29,22.0,99.0,83.29,0.42,29.29,0.37,22.86,0.84,46.14,20.29,6.14,6.57,16.0,23.57,114.43,84.86,0.46,46.29,0.37,22.57,0.84,46.0,23.0,8.43,6.29,14.86,19.71,101.71,89.71,0.44,29.86,0.35,17.57,0.68,42.86,22.29,8.57,5.57,13.71,17.71,-1
114.14,91.71,0.45,33.43,0.38,26.71,0.69,45.14,23.29,8.86,4.29,13.71,21.57,113.43,88.43,0.46,27.14,0.42,24.86,0.82,47.86,21.29,6.57,4.71,16.14,21.43,118.0,86.57,0.51,32.71,0.39,22.14,0.75,45.57,29.29,8.86,7.86,14.14,22.71,105.0,87.0,0.43,27.14,0.31,28.71,0.77,43.0,21.43,7.71,4.43,13.86,18.57,-1
102.57,83.57,0.46,30.86,0.35,18.43,0.79,42.57,19.14,7.0,5.14,16.14,21.86,104.57,83.86,0.45,20.86,0.4,25.71,0.8,43.57,16.29,9.43,3.57,13.57,18.86,107.0,86.57,0.47,26.43,0.42,19.14,0.77,40.43,25.0,8.0,3.29,14.0,19.86,109.14,88.14,0.49,29.0,0.33,19.29,0.71,46.0,26.71,6.71,6.43,15.29,20.14,-1
106.14,92.71,0.44,25.57,0.31,23.43,0.7,46.86,18.29,6.71,5.43,15.14,25.14,113.14,86.43,0.45,30.29,0.35,31.14,0.75,48.57,21.43,8.29,6.0,16.0,22.14,99.29,84.57,0.44,29.0,0.37,17.57,0.79,40.43,22.43,7.0,3.0,13.29,20.0,108.57,81.86,0.47,30.71,0.43,21.57,0.8,43.29,24.0,6.57,2.43,13.43,17.14,1
109.57,87.0,0.46,27.29,0.38,26.71,0.7,48.71,20.43,5.86,5.43,13.29,17.86,104.14,92.29,0.42,36.29,0.34,17.43,0.78,44.86,22.57,7.14,4.0,13.29,24.14,108.71,86.0,0.45,23.43,0.35,27.71,0.82,42.86,20.71,11.0,2.86,14.29,18.71,110.0,87.14,0.48,33.14,0.33,19.0,0.77,42.57,25.0,7.57,5.43,17.14,23.57,1
